merchant_id,name,Ratings,response rate,joined,products,response time,follower
bd40615f-f1ab-495f-991b-e996b51d60e0,POPULAR Official Store,37.2k,68%,3 years ago,852,within hours,92.9k
c875c350-9ca1-408a-9797-6f9b76fa699b,Fashion Mobile,27.9k,89%,8 years ago,238,within hours,6.4k
8ef67264-79ae-447d-9f69-3d0598a5b033,R9 IT Online Store,455,62%,3 years ago,86,within hours,83
42e90961-bc89-428f-a3dd-481605123ae9,POPULAR Official Store,37.2k,68%,3 years ago,852,within hours,92.9k
cfb951d6-9d8a-40b4-a682-5f1d19340384,Logitech Official Store,74.9k,90%,5 years ago,180,within hours,173.4k
f34823b0-0f1d-4a51-b8a1-0e1fd5f77831,Logitech G Official Store,10.9k,78%,3 years ago,122,within hours,48.7k
d576c097-6d77-4309-9e9f-79452f6eb2bf,ContessaStore,16.9k,99%,25 months ago,290,within hours,3.9k
523d75d2-f94c-4f73-a478-a6575679ab6b,ApexStore,1.2k,89%,4 years ago,13,within minutes,749
14c35d85-6280-41cc-acbe-4771a47ed816,Xiaomi Official,17k,45%,4 years ago,245,within hours,28.5k
28d5f082-31b8-4c7c-8f41-1328c83f8e6a,Milink.sg,775,47%,29 months ago,66,within hours,942
9a9bda2c-8459-48d5-923b-e3663dfd70d2,32DayTech,1.5k,81%,6 years ago,62,within hours,428
229340e5-068c-4138-a608-656126456f82,R9 IT Online Store,455,62%,3 years ago,86,within hours,83
a8a9e686-c609-44aa-9da6-3540328ffbb5,JANZ 3C Store,28.9k,97%,5 years ago,178,within hours,7.2k
94cc7ad0-46c7-49a6-a37c-2185d3a87405,JANZ 3C Store,28.9k,97%,5 years ago,178,within hours,7.2k
4d218969-074b-46c0-b829-e4ae83c1d460,Spark HD ,26.6k,98%,3 years ago,377,within hours,8.7k
c284edb4-ea7c-4459-a9cf-eae49f554f75,MIRAVIEW.kr,23k,72%,5 years ago,705,within hours,3.7k
0fe34e89-f24a-4ca5-beb3-c86dfa585c8b,Cybernetics Tech Official,9.9k,94%,12 months ago,130,within hours,4.3k
12f5b02e-3b13-414f-9d11-9f75470f3d9b,Spark HD ,26.6k,98%,3 years ago,377,within hours,8.7k
0f141327-c60d-4174-be3f-0e2f54937f68,Smart Zheng,30.3k,100%,5 years ago,486,within minutes,7.2k
85f68d81-29b2-43b1-a320-df8a6f85a307,PrismPlus Official Store,13.7k,100%,16 months ago,89,within hours,98.9k
b1a2d5df-c156-45cb-b636-a7594963c045,LG Singapore Official Store,6.1k,100%,3 years ago,261,within minutes,66.1k
a2c3a04d-d5c4-4bc9-8257-37ff0f3367ce,PLAY,54,100%,5 years ago,22,within hours,214
bf74c8b6-a7b2-4496-814f-5122a270b321,Home & Life Essentials,8.7k,72%,6 years ago,197,within hours,1.5k
6483e1eb-a05a-4e8c-90de-f7f1110597ad,Fansu Store.sg,35,97%,31 months ago,67,within hours,62
b4c2c080-9886-42c0-9fc1-de88878931d1,berago.sg,11.4k,100%,6 years ago,306,within minutes,1.7k
6a69cc5f-8a17-4b2f-92b3-c28f08c8dc03,spoetry01.sg,3.7k,100%,5 years ago,286,within minutes,1.6k
11ef9663-87a3-441d-9669-4bef69964acf,QY Home Living.,1.7k,99%,10 months ago,36,within minutes,1.9k
a1eb66e6-d96c-4382-b4d3-d0c7f607c199,SonicGear Official Store,5.9k,61%,3 years ago,78,within hours,7.9k
e1b03901-1db2-4136-8619-cc614839ee0d,Xiaomi Global Official Store,48.8k,75%,4 years ago,150,within hours,132.8k
c4a90064-73ca-4af1-8487-28051a53cc3a,Enrichreal.Electronics,8.1k,96%,8 years ago,112,within hours,6.4k
81be85de-ed96-42dc-a044-84dfc5b1d9c2,Metapod Official Store,5.7k,65%,34 months ago,797,within hours,15.8k
5cda6e39-4f9a-4162-9008-3c4f488a9472,Hxr Mobile,14.4k,96%,4 years ago,108,within hours,1.9k
79d38a50-d156-4f64-9639-448d57bb4c46,EKOLSINGAPORE,3.9k,97%,17 months ago,27,within minutes,1.8k
759149ef-cca0-4dea-9c60-fb9871ebefce,Pffee Official Shop,30.9k,79%,6 years ago,92,within hours,10.1k
a4456c45-447b-4172-ad49-39f8e8f40d9b,earphone 3c store,2.6k,94%,5 years ago,947,within hours,513
134a8695-af8d-4c3a-928a-ef8e444c1d64,Prefeerdshop.sg,4.7k,100%,31 months ago,223,within minutes,1.2k
2b53fa8f-0125-4ec3-9da2-90edc1b911de,LifeStyle Home Gadgets,3.1k,85%,4 years ago,79,within minutes,2.4k
cdfe7d90-5f5a-4217-95be-97bcad975775,fortuned.sg,603,100%,31 months ago,72,within minutes,249
79a1a2c7-be82-4fbf-be99-572e67c95880,Divoom Singapore Official Store,371,76%,22 months ago,14,within hours,1.6k
3503ff48-803a-4732-81eb-77c7396c5eb4,VOCOAL.Pro.sg,6.2k,99%,13 months ago,123,within minutes,2.9k
124692be-e5ac-4cfc-bcc6-e767ca20055c,Luxury Watch Wizard,3.8k,89%,6 years ago,115,within hours,2.3k
c1899ba5-c63e-4729-84bb-06e5cd341f8e,FATSBY,53,75%,3 years ago,28,within hours,34
90db15ed-fa67-4813-9901-8b438eefdf46,JANZ 3C Store,28.9k,97%,5 years ago,178,within hours,7.2k
06b845e1-4ecd-4eab-8103-a18ffe1a56d9,Yoga-occkic6.sg,1k,100%,3 years ago,214,within hours,458
9e944e4b-8f52-4b55-899e-746ef24cb316,berago1.sg,187,100%,3 years ago,92,within minutes,89
b8b2a45d-a2ff-4c1c-8f33-2b7de45fd882,BOUGHTNEX,92k,93%,3 years ago,1.3k,within hours,72.6k
dd7738a5-f1da-4b63-abb6-fb42c6f8b13c,SHAVALIFE,18.8k,97%,4 years ago,63,within hours,7.6k
1e682721-07e6-43de-b1b1-83d3a18f5903,QY Mall,388,81%,6 months ago,37,within hours,654
a4955dab-6fea-45a4-a38c-bf72437b2637,Young N Shine,19.3k,64%,6 years ago,320,within hours,7.3k
0b0358b6-256e-4b7b-95c6-f812414e023d,spoetry01.sg,3.7k,100%,5 years ago,286,within minutes,1.6k
82d764aa-79e8-48b6-baba-ef440035abb6,spoetry01.sg,3.7k,100%,5 years ago,286,within minutes,1.6k
144ac5b9-8634-403c-8121-0aaaedc302fc,VIP.SG,6.7k,59%,4 years ago,253,within hours,2k
d748bd29-ed78-4835-a66e-c00a52271ab4,BOUGHTNEX,92k,93%,3 years ago,1.3k,within hours,72.6k
a79cf93c-c5e8-44fe-9513-f847e2e85478,Young N Shine,19.3k,64%,6 years ago,320,within hours,7.3k
bc7e1546-674a-4106-8a9d-e439934c79cf,SQ_80Luv,2.7k,86%,33 months ago,25,within hours,1.3k
e0ac9033-7129-49ec-8158-9505dd80a3da,𝐕𝐅 VINNFIER OFFICIAL STORE SG,416,68%,26 months ago,68,within hours,1.1k
061b041a-1089-43e7-a0b9-78b9ec728502,KHUANKO SHOP,3k,28%,29 months ago,99,within hours,471
1e2dcecf-c3b1-4af0-a687-3b565af66e45,Young N Shine,19.3k,64%,6 years ago,320,within hours,7.3k
97b52a26-da85-41b6-a79e-de4bd5cd8c70,SonicGear Official Store,5.9k,61%,3 years ago,78,within hours,7.9k
896beafd-d121-464a-9fc6-56c516c6c361,fanyi.os,99,37%,6 months ago,95,within hours,65
5b4090a5-3c17-47b7-8177-eaee2a765757,Ashbers,3.4k,88%,27 months ago,265,within hours,3.3k
fbb10a8b-20ce-4a0f-a08b-06f268b1017d,Blackdot Official Store,40.1k,100%,4 years ago,22,within hours,32.7k
f14a9a11-89eb-46c8-86ce-1ff372833da6,Dreambest.sg,4,82%,3 months ago,43,within hours,2
c13cf582-7f9e-4e2f-a051-547fd4b9f9ae,berago.sg,11.4k,100%,6 years ago,306,within minutes,1.7k
6751104c-8c1f-49e2-a2b4-9cf02d56543f,Neineik Store,27.4k,99%,4 years ago,600,within hours,6.4k
b26048be-0072-4e5a-a851-eb79f078d6a7,cicity.sg,3.8k,17%,3 years ago,166,within hours,1.1k
f5c98ece-a617-4871-9ddf-203d456af25e,JBL Official Store,29.1k,66%,5 years ago,234,within hours,91.3k
77020e1c-ee0a-4b72-ae2b-dcba5c600418,VOCOAL.Pro.sg,6.2k,99%,13 months ago,123,within minutes,2.9k
e49d652a-78a6-4ad6-a666-caa769167e33,KHUANKO SHOP,3k,28%,29 months ago,99,within hours,471
59820391-c480-4111-b2f4-a1aaca35b968,Smart Shopping,46.4k,68%,6 years ago,1.1k,within hours,5.4k
c738ea60-48da-46a2-a342-483624bb36da,D.H Digital Store .sg,3.8k,100%,16 months ago,95,within minutes,1.4k
7df728c3-2ca6-48f6-941d-381c0e8339b9,Young N Shine,19.3k,64%,6 years ago,320,within hours,7.3k
9f59f4b8-a9be-43a8-b442-c721e21da450,Young N Shine,19.3k,64%,6 years ago,320,within hours,7.3k
b7b2c264-6075-4916-8d7d-97f885a90ee4,Realwe,12.5k,72%,6 years ago,269,within hours,3.7k
1ede3fdf-7657-4120-a0f2-be10f8c66441,LittleDreamStoreSG,3.3k,95%,21 months ago,68,within hours,3k
f21f26b2-2530-404c-8547-e010b8862156,JANZ 3C Store,28.9k,97%,5 years ago,178,within hours,7.2k
814b9f15-dacf-4a5b-92ee-6117a7174df5,TheOne.OnlyGenuine.sg,528,85%,30 months ago,285,within hours,1.6k
b1d43832-8c8f-4f64-96d6-16e9679fa256,HOME furniture.sg,4,84%,2 months ago,68,within minutes,11
0efdf0ae-5020-4ba9-964d-40edb6ba3c41,SHAVALIFE,18.8k,97%,4 years ago,63,within hours,7.6k
eac9e508-4207-4e40-a3c0-bfd788816cd5,Online Singapore,13.7k,98%,4 years ago,75,within minutes,11.7k
7bfcaaa1-b702-4d4b-bf7d-81867661cfd5,amazingrew.sg,592,57%,5 years ago,103,within minutes,217
0051bb50-797a-4972-a30d-b0e721d5e013,Ministry of Powerbank,10.3k,81%,3 years ago,367,within hours,4.6k
fd435c0d-d10a-4b83-9073-98f7411d44cc,Heng Tech,799,44%,23 months ago,67,within hours,700
01ab049c-a0d1-4c0d-87ab-fffd25e58fc6,Young N Shine,19.3k,64%,6 years ago,320,within hours,7.3k
31c8d47d-d3f9-4f46-a14c-c33917b224ef,Cantik Butterfly,7.1k,78%,7 years ago,144,within hours,7.6k
d2226b43-303f-4cd6-aadd-30fe9539bdbd,Phone External Storage Pendrive,3.8k,96%,4 years ago,280,within hours,1.1k
fa1af9a5-87b3-4e9c-8502-d43fa59aec31,Remax Official Store,10.8k,72%,4 years ago,185,within hours,14.2k
8d5d2308-bb51-42b2-9664-c2ec1c012610,Leapfrog E-Store,24.7k,55%,7 years ago,203,within hours,8.3k
68e951ae-f401-410d-a852-d51250ec98c9,Warm Station,804.8k,100%,6 years ago,9.8k,within minutes,90.3k
069da294-b7b7-4424-bef8-61b5ed3df8fc,Young N Shine,19.3k,64%,6 years ago,320,within hours,7.3k
569b2dff-1680-4f40-98cd-e26d6bf932a3,Avanzars.sg,37,93%,3 months ago,6,within hours,21
3c9238ab-de77-450e-ac63-2bf0d7d3320c,LenCn LivePods Store,517,86%,26 months ago,27,within minutes,168
7393f4e8-e70e-4b7c-9b7a-70d305a4f001,Kebidumeilife Store,11.6k,32%,6 years ago,603,within hours,5.7k
8da12821-f6c4-4eaa-88f6-9629bb44c9a1,Special new item shop,323,66%,34 months ago,472,within hours,364
b672b74b-a7d1-4c42-9eeb-e07affbcd519,openmall.sg,19.1k,100%,6 years ago,1.6k,within minutes,2.7k
adc54fad-204d-4fe4-888c-dea66a5b9096,goodia1.sg,8.7k,100%,3 years ago,373,within minutes,1.6k
a3457b72-6817-4c07-81b1-bac6c2372e4a,SonicGear Official Store,5.9k,61%,3 years ago,78,within hours,7.9k
f7c7183e-c8c0-4f4f-83ab-46b8e15c98e5,Divoom Singapore Official Store,371,76%,22 months ago,14,within hours,1.6k
26882d5b-e452-4675-820f-d01e0f2c359d,𝐕𝐅 VINNFIER OFFICIAL STORE SG,416,68%,26 months ago,68,within hours,1.1k
affe5512-333f-4dfa-a8cc-53e2887be2d0,greensea.sg,3.9k,68%,5 years ago,990,within hours,798
bd3982f6-7b50-407b-b2f0-1a9ebe034fdd,Leapfrog E-Store,24.7k,55%,7 years ago,203,within hours,8.3k
edb56acd-f5cb-416b-b041-8b9ce5baccba,EASTCODE-SG,2.3k,63%,30 months ago,67,within hours,2k
edefa953-275e-4a9b-b561-50428b8c9d5c,Remax Official Store,10.8k,72%,4 years ago,185,within hours,14.2k
0e07426d-be5b-4bf3-bf54-54c16e04e5d9,Leapfrog E-Store,24.7k,55%,7 years ago,203,within hours,8.3k
a97f66e8-f3da-4dc5-b3c3-65eb0b0bb6fb,Isabelle010,570,98%,31 months ago,98,within hours,363
a261054d-23f4-4ef9-bf1e-4a437f6b3069,Sprint-Cass,5k,46%,4 years ago,835,within hours,6.5k
bdfa904c-6368-4af8-84aa-a58a055be4a0,SonicGear Official Store,5.9k,61%,3 years ago,78,within hours,7.9k
ab94f963-2afe-4a69-8f8a-734ad0242142,SonicGear Official Store,5.9k,61%,3 years ago,78,within hours,7.9k
ceb00616-3542-43eb-903d-543bafd6fc6e,booboom Cycling,3.9k,42%,4 years ago,994,within hours,1k
f51650d8-5419-4145-a88c-6e5007a60a6b,Creative Official Store,6.1k,98%,23 months ago,39,within hours,3.8k
1f9e2bce-4b09-421d-b3ba-ca90cfea55bc,Life Electronics shop,124,84%,16 months ago,36,within minutes,64
a0e26235-0b9b-445e-83bb-f1a5226f042e,heimi26.sg,13.3k,89%,4 years ago,138,within hours,3.1k
cfc63880-5b9a-4dc6-903a-cbaaf51e422d,Shun Star.sg,14.2k,58%,34 months ago,145,within hours,4.8k
c8c9661c-f66a-4b30-b962-89d517970a82,vixi2020.sg,2.9k,17%,3 years ago,50,within minutes,517
392208ac-9cbb-4984-8bbc-237ec2da0a08,The101deals,36.3k,77%,5 years ago,96,within hours,3.9k
c03169f2-3780-44a0-9d70-ee06d022ddb7,MixGear,1.3k,73%,21 months ago,323,within hours,121
9ce7ac95-0cd9-436c-bf26-b9c59ba780b5,fortuned.sg,603,100%,31 months ago,72,within minutes,252
8d7f90f2-05b5-4ab9-ae3b-e2d798c56e1d,SVIP_SG,11.4k,68%,5 years ago,76,within hours,2.8k
1d73dc83-e503-4841-bfd5-fb689c8a8d3e,Techwave.sg,3k,49%,30 months ago,54,within hours,2.2k
e786f7a9-445f-4ef5-ad8c-71e5e0af234a,Upowee.sg,3.7k,54%,4 years ago,24,within hours,1.3k
4e649ce1-f4f6-4339-a50d-cdf03ea1be94,JBL Official Store,29.1k,66%,5 years ago,234,within hours,91.3k
6242ef4e-dc77-4855-85dc-52393195ee0c,minisq,1.6k,74%,7 years ago,2.8k,within hours,3.6k
e15b79bb-3025-407b-abac-80e62596bc6d,IN-BOX,24.2k,97%,8 years ago,366,within hours,11.5k
5c61b61f-8c03-4844-9136-b554b0a958a5,Life Electronics shop,124,84%,16 months ago,36,within minutes,64
3ef7d116-018a-4103-b089-be0a97ca0d2b,Life Electronics shop,124,84%,16 months ago,36,within minutes,64
8d519baf-42aa-43a4-a29c-bb9e2df12182,Vention Official Store,124.1k,100%,5 years ago,412,within minutes,44.6k
07b010d6-9582-4b5d-9b77-fe2f02ecda63,1STSHOP,9.5k,91%,8 years ago,538,within hours,4.7k
b2ee14a4-c83d-4704-aeed-1d705842e64c,TheOne.OnlyGenuine.sg,528,85%,30 months ago,285,within hours,1.6k
358eafab-6a5f-4a70-a4f1-7e4e7c90c4e0,Emrys Home SG,476,99%,12 months ago,21,within hours,404
8c004df6-797d-43ce-9fb5-bf07ed255d8c,Aukey Official Store,25.4k,99%,5 years ago,190,within hours,47.7k
def85fb4-073d-4b68-b22e-5dc4cf2f0521,whaletool,12.4k,99%,4 years ago,1.2k,within hours,4.2k
752d2256-c877-4b19-aac5-e543d94da474,Emrys Home SG,476,99%,12 months ago,21,within hours,404
